track_id,question_type,language,domain,length_bucket,token_length,primary_task,accuracy
longqa_delivery_000001,短答案题,Chinese,软件与工程,8k,8488,检索与排序,0.125
longqa_delivery_000004,短答案题,Chinese,学术,32k,27400,引用归因与对齐,0.000
longqa_delivery_000007,短答案题,Chinese,金融,128k,107829,聚合与聚类,0.000
longqa_delivery_000014,短答案题,Chinese,软件与工程,32k,33123,版本与代码差异分析,0.375
longqa_delivery_000016,短答案题,English,法律,64k,34307,检索与排序,0.250
longqa_delivery_000017,短答案题,English,软件与工程,128k,99054,检索与排序,0.000
longqa_delivery_000018,短答案题,English,法律,64k,42407,时序与结构重建,0.375
longqa_delivery_000019,短答案题,English,新闻,16k,8840,时序与结构重建,0.125
longqa_delivery_000020,短答案题,English,学术,64k,49833,结构化与数值推理,0.000
longqa_delivery_000021,短答案题,English,金融,128k,84372,结构化与数值推理,0.000
longqa_delivery_000022,短答案题,Chinese,软件与工程,8k,8283,对话记忆与长程跟踪,0.375
longqa_delivery_000024,短答案题,English,政府事务,16k,13862,摘要与综合,0.250
longqa_delivery_000026,短答案题,Chinese,金融,128k,123302,引用归因与对齐,0.000
longqa_delivery_000030,短答案题,English,软件与工程,128k,91756,一致性与合规检查,0.000
longqa_delivery_000034,短答案题,Chinese,金融,256k,150637,结构化与数值推理,0.250
longqa_delivery_000037,选择题,English,政府事务,64k,33622,规则归纳与上下文学习,0.125
longqa_delivery_000040,多项选择题,Chinese,软件与工程,8k,8254,证据问答,0.250
longqa_delivery_000041,多项选择题,Chinese,金融,128k,119387,引用归因与对齐,0.250
longqa_delivery_000042,多项选择题,English,法律,32k,26527,聚合与聚类,0.125
longqa_delivery_000043,多项选择题,Chinese,政府事务,16k,11685,结构化与数值推理,0.000
